user_id,gasto_total,porcentaje_recomendacion,items_count
76561197970982479,3419.3199999999856,0%,277
js41637,8394.36999999988,64%,888
evcentric,1584.9000000000008,0%,137
Riot-Punch,3284.469999999982,83%,328
doctr,6660.579999999947,81%,541
MinxIsBetterThanPotatoes,4885.309999999973,91%,371
NitemarePK,3089.869999999986,0%,304
themanwich,3260.3499999999854,0%,258
maplemage,7248.259999999926,100%,629
corrupted_soul,1118.2400000000005,0%,115
jorellpogi,133.89,0%,71
cadmusthreepointoh,3114.9199999999864,0%,253
76561198064823719,694.5600000000002,0%,55
MeaTCompany,184.92,0%,14
76561198089393905,1479.1200000000006,36%,103
76561198156664158,375.75000000000006,14%,59
76561198077246154,475.7100000000001,33%,174
76561198070234207,59.96,90%,33
WeiEDKrSat,164.88000000000002,0%,28
thequeenpanda,6448.979999999949,60%,524
death-hunter,811.4700000000003,0%,121
turneddreamsintoanempire,1097.4600000000005,50%,96
DJKamBer,1147.9400000000005,100%,152
76561198030389591,24.98,50%,12
Rainbow-Dashie,226.84000000000003,50%,59
btuty8trgt,609.5000000000003,0%,99
76561198043472122,534.6200000000002,0%,88
MarbleShrine,2575.5399999999963,0%,185
fdcfelipefdc,506.7600000000001,0%,43
bbaekhyun,888.3700000000003,69%,77
Moomfina,533.6700000000002,0%,50
PPanther,664.6100000000002,0%,62
ABSOLUTLY_NOTHING,1686.720000000001,0%,196
devvonst,562.5700000000003,100%,68
Fr0stedLine,522.0800000000002,0%,50
76561198058373434,184.87,0%,49
76561198048353577,671.4200000000004,73%,95
76561198072190369,209.86000000000004,0%,32
76561198066046412,709.7200000000001,0%,48
tru_mu_,609.6600000000002,100%,62
wirlom,279.7200000000001,0%,50
76561198070565427,175.84,0%,75
SavageEeEe,394.8500000000001,0%,32
76561198076909484,55.96,0%,11
76561198066908262,219.88,0%,10
KanadeTheNeko,408.60000000000025,100%,73
Leaf_Light_Moscow,44.98,50%,5
erickoiv,24.98,100%,6
GoAwayZach,445.72000000000014,100%,59
76561198054540475,1080.3800000000003,0%,106
76561198100701221,237.81000000000003,0%,96
76561198085547365,504.70000000000016,50%,65
76561198061252210,94.93,0%,25
OfficialShroomsy,423.71000000000015,0%,51
76561198056147391,59.96,60%,7
8Bit-Ninja,478.5500000000003,20%,81
76561198071500702,124.93,0%,13
76561198099905030,676.6000000000001,100%,78
76561198047407223,54.96,100%,56
latiano,868.5100000000002,100%,72
kongtape,485.6300000000001,60%,73
boydeer,1349.9900000000007,100%,149
76561198100297613,939.5400000000004,0%,74
VVillis,1713.630000000001,33%,168
76561198083226897,24.98,0%,6
76561198075277292,95.93,100%,14
76561198094630961,135.89,20%,20
12549,223.88,100%,64
76561198028895010,1676.730000000001,67%,190
76561198092411867,124.94,71%,20
76561198170198366,119.90999999999998,69%,27
diego9031,1077.2000000000005,75%,200
iampiepiepie,584.7000000000002,57%,41
76561198079863506,89.94,0%,26
jarrodtrim,1550.8700000000008,67%,161
76561198078738103,195.85,0%,33
76561198068964564,169.92000000000002,100%,12
76561198067936203,574.82,100%,46
76561198079770573,208.88,100%,30
UpTheAss,164.95000000000002,0%,10
76561197977385164,169.89,100%,12
76561198075491015,75.93,90%,34
76561198087586464,190.84000000000003,0%,31
76561198086878953,1853.7900000000009,0%,185
Derp-e,189.88,0%,18
76561198070194565,1190.1800000000003,71%,214
Rivtex,319.73000000000013,87%,51
firefreddy,16.97,0%,25
UTNerd24,1562.4600000000012,43%,188
sandwiches1,1535.8900000000008,0%,172
76561198093083895,62.97,0%,15
76561198138053270,441.6900000000001,100%,64
76561198062422084,1037.4600000000005,0%,83
Life-Of-Blu,810.6100000000002,29%,64
CaptianAutismo,345.7500000000001,57%,62
maxgp,709.6800000000002,100%,77
AppaTheSwagBison,553.6800000000002,50%,77
knightboy991,504.81000000000006,12%,67
76561198034678103,456.69000000000017,0%,49
76561198075895633,349.81000000000006,0%,38
TheDropix101,201.87000000000003,38%,16
kube134,5308.929999999951,40%,476
iamthekingofbrowntown,2048.0500000000006,100%,124
MainScout,19.99,0%,36
gdxsd,459.69000000000005,17%,79
yookobz,1950.590000000001,50%,174
Posiblydead,3187.049999999989,60%,255
Mossy_Gaming,186.88,67%,21
76561198093817084,225.82,100%,65
76561198102421718,556.6500000000002,0%,88
76561198079045885,317.81000000000006,0%,36
76561198087407319,713.6600000000002,0%,66
76561198074466513,208.88000000000005,41%,31
damo131,189.92,33%,20
19702316748,937.3100000000004,100%,94
FrystHjarte,29.97,0%,39
76561198056741844,3212.2099999999887,38%,257
sad-commie,3651.369999999986,59%,306
76561198030567998,909.3900000000004,100%,75
Coldaniel,1202.3000000000004,0%,133
therealmorty,1459.8800000000008,42%,174
itslonk,1839.010000000001,33%,133
DeDroidUreLookin4,688.6800000000002,100%,52
Berserklejerker,1380.1400000000006,75%,123
76561198088799241,521.7300000000001,0%,76
76561198061730629,651.5800000000002,0%,87
YoHuNz,1227.9600000000007,75%,153
possessioniskey,95.93,57%,23
76561198072732874,269.84000000000003,90%,49
76561198093112529,49.96,80%,30
sevqu,170.89,0%,28
76561198060447950,109.94,0%,55
whiteofwolfing,281.89000000000004,0%,21
76561198056857968,837.5300000000003,0%,64
sergarino,569.6100000000002,67%,80
PyroCreed,500.6100000000002,61%,55
76561198052897627,184.91,68%,20
76561198081962345,696.4300000000003,0%,95
76561198039266268,44.97,50%,13
76561198094224872,293.82000000000005,62%,25
76561198073210139,118.89999999999998,19%,39
Nozomikat,984.2600000000006,0%,108
76561198076933844,487.7700000000001,67%,33
76561198072186059,709.6800000000002,100%,57
xfluttersx,3222.569999999982,100%,344
76561198068621601,56.96,100%,8
76561198056290589,226.86000000000007,0%,41
ii_voltage_ii,1177.0100000000004,100%,456
76561198097762318,126.88999999999996,100%,22
Hirukaz,605.5200000000003,70%,81
StelerForYou,262.7900000000001,100%,68
76561198183396245,134.92,67%,24
otteloo,138.39,0%,115
shinra420,194.86,100%,42
Xx-Woods,1637.8200000000008,60%,173
kevinator23,706.5200000000002,0%,71
tonyballoney,478.7200000000002,67%,38
76561198090715178,371.69000000000005,67%,82
Child_Vs_Puddle,129.92,33%,28
76561198073784601,419.7300000000001,20%,69
mimimomoma,1739.9000000000008,0%,191
76561198102410011,35.97,0%,22
de_Butl3r,129.94,75%,17
76561198157999555,24.98,33%,3
76561198027947401,113.9,67%,27
Bluezap1,259.78000000000003,0%,50
76561198074200011,21.98,83%,4
jonasdbomb,5252.389999999953,0%,461
L1J1N,454.7300000000001,0%,34
Lord_Exploit,672.6600000000002,100%,48
76561198079106676,1124.4900000000002,100%,83
76561198092244787,365.68,100%,33
Sanctus94,560.6000000000001,0%,75
76561197990792016,1221.3000000000004,0%,113
AVATAR715,1502.0300000000009,33%,186
76561198073987767,204.89,43%,24
Fluxxyz,44.97,0%,8
76561198092150873,809.6400000000002,57%,75
YieuwMage,100.92999999999998,100%,70
Nfkted_CS,114.93,74%,17
A-Very-Sly-Person,203.9,33%,45
76561197994493402,1770.9600000000007,0%,151
76561198065656175,1021.3100000000004,0%,110
76561198188979775,29.97,100%,8
97396295,49.97,75%,22
xoFushiox,379.7400000000001,0%,49
76561198126640317,239.87000000000003,42%,27
DemonicWolvz,706.9700000000003,0%,106
DieMadchenschanderin,1914.620000000001,100%,200
76561198072706529,499.7600000000001,0%,59
76561198215949741,14.99,100%,2
GGargula,1720.690000000001,50%,185
Myther43,2647.6699999999964,0%,213
getf0kinn0sc0pedm9,432.6900000000001,75%,78
76561198141443390,810.5500000000003,100%,107
76561198031924053,49.97,0%,4
76561198097333029,249.84000000000003,0%,23
dominiclim99,40.98,67%,16
whodafuqisthisguilao,76.92999999999998,0%,41
76561198072205329,124.96,0%,21
Icamebackbitches,635.5900000000003,0%,76
Magjiikal,1282.3400000000008,0%,162
ohnospaghet,1186.5300000000009,80%,176
76561198060062487,19.99,72%,5
76561198050347115,1392.1600000000003,67%,95
2768820078,1545.2700000000004,0%,91
76561198049968536,264.89000000000004,0%,53
76561198056392326,1251.510000000001,0%,141
2d4nk4m3,692.3700000000005,27%,160
76561198074003102,64.96,0%,9
76561198078478151,180.88,50%,23
exiaez,445.7100000000001,100%,37
BURNINGchicken3,3421.0399999999804,100%,307
76561198066835162,1051.5200000000002,100%,112
76561198069593452,39.98,0%,34
undietaker,847.4500000000004,100%,92
76561198095921854,630.7100000000002,17%,82
EizanAratoFujimaki,2414.209999999989,0%,391
POOTISSPENSOR,211.81000000000003,44%,26
angorabug,553.1900000000002,45%,49
TeCool,570.5600000000002,40%,56
ZyhgarThestarweaver,2062.7100000000005,67%,179
2xDelorean,419.71000000000015,17%,55
washington_,1023.3300000000004,0%,112
76561198088944293,1636.1600000000003,50%,131
76561198061769804,164.88,37%,40
76561198051258119,403.8000000000001,86%,73
76561198065771371,90.93,0%,64
nubquake123,594.5600000000003,0%,76
Pyromanic,436.6900000000001,0%,41
76561198109656922,199.9,57%,43
76561198149432604,48.940000000000005,33%,14
Unplanned_stategy,266.85,74%,39
CobRazor,614.4900000000002,15%,70
relesprit,1269.1800000000003,0%,104
76561198090294067,957.5,42%,59
jimmyarcexd,0.0,100%,1
talove112345,1106.3800000000003,71%,105
76561198055094875,684.7100000000002,0%,41
WitchHunter4542,477.72000000000014,4%,75
76561198203244300,30.969999999999995,0%,40
pwrt,346.7900000000001,40%,51
wantmahbody,736.4700000000004,0%,83
76561198115868847,336.82000000000005,55%,33
benedictcuminherbatch,42.97,71%,5
76561198031207016,269.87000000000006,100%,41
76561198089077856,4.99,60%,4
76561198043458582,2275.869999999999,50%,168
smashiroshh,1872.8100000000009,0%,172
shark854,442.7800000000001,0%,37
76561198062876401,1662.730000000001,0%,153
76561198011661078,114.92,33%,11
PabloSanches,1168.2500000000005,71%,116
76561197991074667,0.0,100%,14
killbunny38,1360.2700000000004,50%,110
76561198047630659,1953.0600000000009,0%,133
76561198069713121,536.5700000000002,0%,115
1997-07-06_J077,29.98,0%,7
76561198076248461,196.88,0%,19
1337lolroflmao,1911.8200000000008,0%,197
76561198080832419,134.96,0%,10
76561198151645088,201.87000000000003,0%,27
IAA_Recon_Dropbear,2476.6299999999983,21%,195
goonbagger,347.71000000000004,100%,30
76561198060039459,329.85,11%,35
OzfurAtlas,1560.0800000000006,0%,125
76561198065593074,1059.3900000000003,50%,111
madmax64,417.7700000000001,0%,81
76561198044169764,315.76000000000005,0%,57
euzi,279.90000000000003,0%,19
lucasrash,189.91,25%,27
76561198082845362,14.99,100%,6
76561198087767019,272.85,33%,25
thisissohardtomakeoneup,134.92,76%,15
76561198087010391,9.99,63%,7
66666669999999,1268.3000000000004,75%,121
76561198061174192,1560.000000000001,100%,131
DoaFapbeforeaNap,129.86,0%,114
ReMiXOfficalSteam,700.4300000000004,0%,106
Wilfire77,1204.1200000000006,0%,113
76561198042730234,373.80000000000007,0%,36
76561198069159579,202.87,33%,25
76561198086476445,86.93999999999998,0%,18
76561198085016240,718.6100000000002,56%,59
76561198060808273,3612.6899999999832,33%,310
76561198084390807,405.86000000000007,33%,26
76561198003688205,54.96,100%,7
Mastic,3926.179999999971,0%,365
Scooterinooo,454.7700000000001,0%,40
76561198028286104,314.83000000000004,67%,30
76561198088447673,239.85,20%,36
tarjla,1872.730000000001,0%,193
deathnz1,2701.1299999999924,56%,250
readingthis4noobs,119.9,0%,57
SonicMCGamer,118.90999999999995,0%,19
xXBoss1Xx,15.98,100%,3
76561198084698198,1179.3200000000004,0%,143
76561198104393251,268.7800000000001,100%,51
Borne901,459.6500000000002,60%,58
76561198075322986,410.6100000000002,0%,91
redsncrimson,708.4900000000004,0%,65
76561198151910904,233.8400000000001,0%,38
H1DD3NT3RR0R,821.7500000000005,0%,108
76561198071214618,1248.3800000000003,62%,93
76561198115115631,365.81000000000006,0%,58
sisiiik,346.33000000000004,38%,33
76561198071175142,507.7800000000001,100%,67
t8s,282.7400000000001,33%,70
pikawuu2,718.3900000000003,0%,100
Sammeh00,536.4700000000003,0%,96
godlike_bot,449.81000000000006,50%,33
dpswaffles,149.86999999999998,0%,18
NoObFiGHtEr,805.6200000000001,46%,49
Michaelele,701.6000000000003,17%,66
76561198045754869,1501.6000000000006,40%,124
76561198076098774,79.94,50%,9
76561198074963071,9.99,100%,24
76561198103253374,79.96,50%,26
76561198048417105,217.9,0%,12
76561197989175394,386.8500000000001,100%,31
76561198090842891,368.8100000000001,0%,40
76561198058706736,439.81000000000006,0%,20
76561198055767971,730.5400000000003,0%,95
76561197998052647,1536.0700000000006,0%,113
adohya343,744.4100000000003,45%,137
76561198145436942,517.7400000000001,0%,34
3xotic26,1904.760000000001,50%,153
iamthetrashlord,2512.769999999997,100%,191
nothingheretrustme,481.72000000000014,0%,44
76561198071253729,601.6800000000001,0%,43
3dster,1133.2100000000005,0%,113
76561198041808338,1010.4600000000004,0%,81
76561198016685643,1420.1900000000005,0%,124
76561198079990063,217.87,50%,26
Forty-Nine,1007.2300000000006,100%,114
76561198051017916,3042.0099999999743,60%,763
L4M1NAS,444.7700000000001,0%,74
emurphy8,325.80000000000007,0%,29
76561198096766604,537.7400000000001,100%,48
Sephirical,1211.1900000000005,40%,130
76561197995322437,556.6800000000001,0%,36
imsojipper,2281.5599999999986,0%,196
76561198066840831,79.96,23%,7
76561198096220900,290.8,60%,38
76561198084542731,709.5600000000002,0%,61
fullswag0to100realquick,314.85,100%,24
76561198102121026,8.99,0%,1
76561198103671881,455.7700000000001,0%,96
mrpfresh,8412.77999999991,71%,791
GamerFag,392.5200000000002,73%,64
76561197970628046,1205.2800000000004,100%,83
76561198013858002,410.7600000000001,47%,40
76561198058570014,208.85000000000005,0%,67
76561198045133986,419.7800000000001,61%,43
76561198002820828,1300.1800000000003,64%,129
chidori_647,8803.899999999916,67%,723
76561198092227136,1769.0400000000016,73%,333
hellcat59,883.5700000000003,50%,55
76561198007584361,1629.1100000000006,0%,138
tbimperator,3703.999999999985,44%,279
Allahu_Akbar666,475.72000000000014,0%,86
ulramite,1121.5800000000006,0%,135
76561198080534850,756.7100000000002,0%,63
-GM-Dragon,822.4700000000003,0%,106
LeoRocksAce,157.9,0%,24
76561198054040292,315.7500000000001,0%,90
76561198155458511,315.80000000000007,0%,56
I_DID_911_JUST_SAYING,1172.9200000000008,0%,154
76561198077035732,178.93,0%,14
76561198072625764,315.81,100%,44
A_Je_100,74.94,40%,13
imagoatieatpoo,288.82000000000005,55%,22
750805,8326.229999999901,40%,690
76561198080881726,351.72000000000014,100%,43
Thatishayden,1842.000000000001,0%,122
Flabbernackle,3119.139999999989,67%,261
diabeticfuck,1431.1100000000006,100%,121
magicalpony,0.0,75%,6
76561197962104795,791.5500000000002,50%,79
76561198054465623,697.5000000000002,0%,230
76561198074257942,1820.0900000000008,43%,178
aaropro,158.91,0%,36
Aaron_ggf,6195.229999999925,0%,664
abiam,233.87,59%,46
76561198037346576,1016.3700000000003,67%,89
FrankoWalker,570.7,50%,53
LightfootSword7,3117.069999999988,25%,255
DaDanMan,2278.4899999999984,100%,184
SALTTHEW0UND,805.1600000000005,0%,114
express157,852.5100000000002,0%,75
76561198074644990,1235.1300000000006,29%,132
76561198064304806,516.7800000000001,0%,36
3456457568,710.6000000000003,43%,90
TomoeMamiewe,225.8200000000001,0%,63
76561198057086148,1128.3900000000003,0%,66
Acidius99,1689.000000000001,67%,128
76561198067150343,567.7700000000001,0%,105
acorn13,5165.90999999997,50%,404
adamcookie,355.7600000000001,40%,40
AddzyTheBaddzy,1296.9200000000008,16%,138
76561197997824340,2790.479999999996,0%,255
76561198076154360,169.86,100%,18
76561198055524901,469.7800000000001,50%,28
mradobe7,3068.719999999987,73%,250
zomboy151,2460.669999999997,0%,164
76561198167207237,620.6000000000003,100%,58
cancerkek,799.6600000000002,0%,50
matto1499,506.64000000000016,0%,55
76561198073508075,498.7300000000001,67%,47
76561198090899557,708.5900000000001,0%,62
76561198072468669,49.97,100%,12
Advancebest,532.5600000000002,0%,92
advenger95,981.3200000000004,71%,104
EndAtHallow,770.4900000000002,0%,66
76561198060820384,239.87000000000003,67%,24
76561198063624801,665.4500000000003,38%,87
aeryal,326.7000000000001,0%,55
vault_brothers,719.6100000000002,0%,59
After2night,294.86,100%,30
76561198029090446,874.5100000000003,43%,79
76561197968819541,562.7100000000002,44%,39
76561198015968275,3447.8599999999847,0%,278
defender_10,374.7800000000001,0%,54
Agiegamma,1039.3800000000003,100%,109
76561198082614708,68.92,12%,28
76561198066465411,101.90999999999998,100%,38
Agronoth,2360.3099999999968,0%,206
UnholyFallenAngel,705.5900000000001,0%,83
Ricardio556,888.2600000000004,50%,113
madgamerzzz,109.93,0%,15
76561198068565589,1395.1500000000003,100%,120
SlutOnTheSpit,906.5700000000002,40%,62
WestyGaming,479.5500000000003,0%,89
NaruseAiria,3123.6999999999784,0%,390
76561198265081359,68.92999999999999,100%,16
76561198046844795,54.97,0%,11
76561198067713802,429.7600000000001,50%,46
76561198187212131,159.92999999999998,67%,29
rjh91,624.6000000000003,50%,51
alansiulun,491.70000000000016,0%,47
Albolah,144.89,0%,11
76561198003056556,5688.479999999933,43%,557
76561198063941075,3487.889999999986,0%,228
76561198088886304,1449.2500000000005,62%,97
maxpaynepillkiller,2253.8499999999963,100%,207
76561198056092813,2635.199999999996,56%,236
76561198095481910,427.7300000000001,0%,74
